vtuneCategory,threadcount,inputinfo,metric,value
tr,36,256,Total Thread Count,36
tr,36,256,Thread Oversubscription,0s (0.0% of CPU Time)
tr,36,256,Wait Time with poor CPU Utilization,2.084s (100.0% of Wait Time)
tr,36,256,Spin and Overhead Time,3.310s (99.4% of CPU Time)
tr,36,256,Application Command Line,"lud_omp ""-n"" ""36"" ""-i"" ""../../data/lud/256.dat"""
tr,36,256,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,36,256,Computer Name,quartz2770
tr,36,256,Result Size,3996283
tr,36,256,Collection start time,00:38:06 22/04/2021 UTC
tr,36,256,Collection stop time,00:38:07 22/04/2021 UTC
tr,36,256,Collector Type,User-mode sampling and tracing
tr,36,256,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,36,256,Frequency,2095147615
tr,36,256,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,256,Metric Name,Metric Value
hpc,36,256,Elapsed Time,0.358623
hpc,36,256,SP GFLOPS,0.0
hpc,36,256,DP GFLOPS,0.0
hpc,36,256,x87 GFLOPS,0.0
hpc,36,256,CPI Rate,1.309735
hpc,36,256,Average CPU Frequency,3010505067.533981
hpc,36,256,Total Thread Count,36
hpc,36,256,Effective Physical Core Utilization,3.0% (1.069 out of 36)
hpc,36,256,Effective Logical Core Utilization,1.0% (0.713 out of 72)
hpc,36,256,Serial Time (outside parallel regions),0.345s (96.3%)
hpc,36,256,Parallel Region Time,0.013s (3.7%)
hpc,36,256,Estimated Ideal Time,0.001s (0.4%)
hpc,36,256,OpenMP Potential Gain,0.012s (3.3%)
hpc,36,256,Memory Bound,43.7
hpc,36,256,Cache Bound,29.0
hpc,36,256,DRAM Bound,0.0
hpc,36,256,NUMA: % of Remote Accesses,0.0
hpc,36,256,Vectorization,0.0
hpc,36,256,SP FLOPs,0.0
hpc,36,256,Packed,0.0
hpc,36,256,128-bit,0.0
hpc,36,256,256-bit,0.0
hpc,36,256,Scalar,0.0
hpc,36,256,DP FLOPs,0.0
hpc,36,256,Packed,0.0
hpc,36,256,128-bit,0.0
hpc,36,256,256-bit,0.0
hpc,36,256,Scalar,0.0
hpc,36,256,x87 FLOPs,0.0
hpc,36,256,Non-FP,100.0
hpc,36,256,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,36,256,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,36,256,Application Command Line,"lud_omp ""-n"" ""36"" ""-i"" ""../../data/lud/256.dat"""
hpc,36,256,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,36,256,Computer Name,quartz2770
hpc,36,256,Result Size,3885864
hpc,36,256,Collection start time,00:38:22 22/04/2021 UTC
hpc,36,256,Collection stop time,00:38:22 22/04/2021 UTC
hpc,36,256,Collector Type,Driverless Perf per-process sampling
hpc,36,256,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,36,256,Frequency,2095148797
hpc,36,256,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,18,256,Metric Name,Metric Value
tr,18,256,Elapsed Time,0.294698
tr,18,256,Paused Time,0.0
tr,18,256,Effective CPU Utilization,0.0% (0.034 out of 72 logical CPUs)
tr,18,256,OpenMP Analysis. Collection Time,0.294698
tr,18,256,Serial Time (outside parallel regions),0.277s (93.8%)
tr,18,256,Parallel Region Time,0.018s (6.2%)
tr,18,256,Estimated Ideal Time,0.011s (3.6%)
tr,18,256,OpenMP Potential Gain,0.007s (2.5%)
tr,18,256,Total Thread Count,18
tr,18,256,Thread Oversubscription,0s (0.0% of CPU Time)
tr,18,256,Wait Time with poor CPU Utilization,0.359s (100.0% of Wait Time)
tr,18,256,Spin and Overhead Time,1.060s (99.1% of CPU Time)
tr,18,256,Application Command Line,"lud_omp ""-n"" ""18"" ""-i"" ""../../data/lud/256.dat"""
tr,18,256,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,18,256,Computer Name,quartz2770
tr,18,256,Result Size,3799172
tr,18,256,Collection start time,00:38:40 22/04/2021 UTC
tr,18,256,Collection stop time,00:38:41 22/04/2021 UTC
tr,18,256,Collector Type,User-mode sampling and tracing
tr,18,256,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,18,256,Frequency,2095147065
tr,18,256,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,256,Metric Name,Metric Value
hpc,18,256,Elapsed Time,0.190143
hpc,18,256,SP GFLOPS,0.0
hpc,18,256,DP GFLOPS,0.0
