vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,11,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,18,11,Computer Name,quartz2391
hpc,18,11,Result Size,3316763
hpc,18,11,Collection start time,22:52:24 21/04/2021 UTC
hpc,18,11,Collection stop time,22:52:24 21/04/2021 UTC
hpc,18,11,Collector Type,Driverless Perf per-process sampling
hpc,18,11,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,18,11,Frequency,2095146985
hpc,18,11,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,9,11,Metric Name,Metric Value
hpc,9,11,Elapsed Time,0.025572
hpc,9,11,SP GFLOPS,0.0
hpc,9,11,DP GFLOPS,0.0
hpc,9,11,x87 GFLOPS,0.0
hpc,9,11,CPI Rate,2.000000
hpc,9,11,Average CPU Frequency,4190295150.000000
hpc,9,11,Total Thread Count,1
hpc,9,11,Effective Physical Core Utilization,0.3% (0.098 out of 36)
hpc,9,11,Effective Logical Core Utilization,0.3% (0.196 out of 72)
hpc,9,11,Memory Bound,0.0
hpc,9,11,Cache Bound,0.0
hpc,9,11,DRAM Bound,0.0
hpc,9,11,NUMA: % of Remote Accesses,0.0
hpc,9,11,Vectorization,0.0
hpc,9,11,SP FLOPs,0.0
hpc,9,11,Packed,0.0
hpc,9,11,128-bit,0.0
hpc,9,11,256-bit,0.0
hpc,9,11,Scalar,0.0
hpc,9,11,DP FLOPs,0.0
hpc,9,11,Packed,0.0
hpc,9,11,128-bit,0.0
hpc,9,11,256-bit,0.0
hpc,9,11,Scalar,0.0
hpc,9,11,x87 FLOPs,0.0
hpc,9,11,Non-FP,0.0
hpc,9,11,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,9,11,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,9,11,Application Command Line,"myocyte ""100"" ""1"" ""1"" ""9"""
hpc,9,11,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,9,11,Computer Name,quartz2391
hpc,9,11,Result Size,3317034
hpc,9,11,Collection start time,22:52:44 21/04/2021 UTC
hpc,9,11,Collection stop time,22:52:44 21/04/2021 UTC
hpc,9,11,Collector Type,Driverless Perf per-process sampling
hpc,9,11,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,9,11,Frequency,2095147575
hpc,9,11,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,11,Metric Name,Metric Value
hpc,4,11,Elapsed Time,0.048770
hpc,4,11,SP GFLOPS,0.0
hpc,4,11,DP GFLOPS,0.0
hpc,4,11,x87 GFLOPS,0.0
hpc,4,11,CPI Rate,2.000000
hpc,4,11,Average CPU Frequency,2095147693.000000
hpc,4,11,Total Thread Count,1
hpc,4,11,Effective Physical Core Utilization,0.3% (0.103 out of 36)
hpc,4,11,Effective Logical Core Utilization,0.3% (0.206 out of 72)
hpc,4,11,Memory Bound,0.0
hpc,4,11,Cache Bound,0.0
hpc,4,11,DRAM Bound,0.0
hpc,4,11,NUMA: % of Remote Accesses,0.0
hpc,4,11,Vectorization,0.0
hpc,4,11,SP FLOPs,0.0
hpc,4,11,Packed,0.0
hpc,4,11,128-bit,0.0
hpc,4,11,256-bit,0.0
hpc,4,11,Scalar,0.0
hpc,4,11,DP FLOPs,0.0
hpc,4,11,Packed,0.0
hpc,4,11,128-bit,0.0
hpc,4,11,256-bit,0.0
hpc,4,11,Scalar,0.0
hpc,4,11,x87 FLOPs,0.0
hpc,4,11,Non-FP,0.0
hpc,4,11,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,4,11,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,4,11,Application Command Line,"myocyte ""100"" ""1"" ""1"" ""4"""
hpc,4,11,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,4,11,Computer Name,quartz2391
hpc,4,11,Result Size,3317004
hpc,4,11,Collection start time,22:53:05 21/04/2021 UTC
hpc,4,11,Collection stop time,22:53:05 21/04/2021 UTC
hpc,4,11,Collector Type,Driverless Perf per-process sampling
hpc,4,11,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,4,11,Frequency,2095147693
hpc,4,11,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,20,Metric Name,Metric Value
hpc,36,20,Elapsed Time,0.025486
hpc,36,20,SP GFLOPS,0.0
hpc,36,20,DP GFLOPS,0.0
hpc,36,20,x87 GFLOPS,0.0
hpc,36,20,CPI Rate,2.000000
hpc,36,20,Average CPU Frequency,2095148862.000000
hpc,36,20,Total Thread Count,1
hpc,36,20,Effective Physical Core Utilization,0.5% (0.197 out of 36)
hpc,36,20,Effective Logical Core Utilization,0.5% (0.393 out of 72)
hpc,36,20,Memory Bound,0.0
hpc,36,20,Cache Bound,0.0
hpc,36,20,DRAM Bound,0.0
hpc,36,20,NUMA: % of Remote Accesses,0.0
hpc,36,20,Vectorization,0.0
hpc,36,20,SP FLOPs,0.0
hpc,36,20,Packed,0.0
hpc,36,20,128-bit,0.0
hpc,36,20,256-bit,0.0
hpc,36,20,Scalar,0.0
hpc,36,20,DP FLOPs,0.0
hpc,36,20,Packed,0.0
hpc,36,20,128-bit,0.0
hpc,36,20,256-bit,0.0
hpc,36,20,Scalar,0.0
hpc,36,20,x87 FLOPs,0.0
hpc,36,20,Non-FP,0.0
hpc,36,20,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,36,20,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,36,20,Application Command Line,"myocyte ""100"" ""2"" ""0"" ""36"""
hpc,36,20,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,36,20,Computer Name,quartz2391
hpc,36,20,Result Size,3317003
hpc,36,20,Collection start time,22:53:25 21/04/2021 UTC
hpc,36,20,Collection stop time,22:53:25 21/04/2021 UTC
hpc,36,20,Collector Type,Driverless Perf per-process sampling
hpc,36,20,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,36,20,Frequency,2095148862
hpc,36,20,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,20,Metric Name,Metric Value
hpc,18,20,Elapsed Time,0.022211
hpc,18,20,SP GFLOPS,0.0
hpc,18,20,DP GFLOPS,0.0
hpc,18,20,x87 GFLOPS,0.0
hpc,18,20,CPI Rate,2.000000
hpc,18,20,Average CPU Frequency,4190298184.000000
hpc,18,20,Total Thread Count,1
hpc,18,20,Effective Physical Core Utilization,0.3% (0.113 out of 36)
hpc,18,20,Effective Logical Core Utilization,0.3% (0.226 out of 72)
hpc,18,20,Memory Bound,0.0
hpc,18,20,Cache Bound,0.0
hpc,18,20,DRAM Bound,0.0
hpc,18,20,NUMA: % of Remote Accesses,0.0
hpc,18,20,Vectorization,0.0
hpc,18,20,SP FLOPs,0.0
hpc,18,20,Packed,0.0
hpc,18,20,128-bit,0.0
hpc,18,20,256-bit,0.0
hpc,18,20,Scalar,0.0
hpc,18,20,DP FLOPs,0.0
hpc,18,20,Packed,0.0
hpc,18,20,128-bit,0.0
hpc,18,20,256-bit,0.0
hpc,18,20,Scalar,0.0
hpc,18,20,x87 FLOPs,0.0
hpc,18,20,Non-FP,0.0
hpc,18,20,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,18,20,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,18,20,Application Command Line,"myocyte ""100"" ""2"" ""0"" ""18"""
