vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,1024,Collection stop time,20:47:52 21/04/2021 UTC
hpc,4,1024,Collector Type,Driverless Perf per-process sampling
hpc,4,1024,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,4,1024,Frequency,2095147619
hpc,4,1024,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,36,2048,Metric Name,Metric Value
tr,36,2048,Elapsed Time,0.397015
tr,36,2048,Paused Time,0.0
tr,36,2048,Effective CPU Utilization,0.0% (0.000 out of 72 logical CPUs)
tr,36,2048,OpenMP Analysis. Collection Time,0.397015
tr,36,2048,Serial Time (outside parallel regions),0.369s (93.0%)
tr,36,2048,Parallel Region Time,0.028s (7.0%)
tr,36,2048,Estimated Ideal Time,0.017s (4.3%)
tr,36,2048,OpenMP Potential Gain,0.011s (2.7%)
tr,36,2048,Total Thread Count,36
tr,36,2048,Thread Oversubscription,0s (0.0% of CPU Time)
tr,36,2048,Wait Time with poor CPU Utilization,1.984s (100.0% of Wait Time)
tr,36,2048,Spin and Overhead Time,3.240s (100.0% of CPU Time)
tr,36,2048,Application Command Line,"backprop ""2048"""
tr,36,2048,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,36,2048,Computer Name,quartz2744
tr,36,2048,Result Size,3923181
tr,36,2048,Collection start time,20:48:09 21/04/2021 UTC
tr,36,2048,Collection stop time,20:48:10 21/04/2021 UTC
tr,36,2048,Collector Type,User-mode sampling and tracing
tr,36,2048,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,36,2048,Frequency,2095148451
tr,36,2048,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,2048,Metric Name,Metric Value
hpc,36,2048,Elapsed Time,0.292664
hpc,36,2048,SP GFLOPS,0.0
hpc,36,2048,DP GFLOPS,0.0
hpc,36,2048,x87 GFLOPS,0.0
hpc,36,2048,CPI Rate,1.755102
hpc,36,2048,Average CPU Frequency,4741650168.789474
