vtuneCategory,threadcount,inputinfo,metric,value
hpc,4,6464,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,4,6464,Computer Name,quartz1453
hpc,4,6464,Result Size,3435607
hpc,4,6464,Collection start time,20:51:28 22/04/2021 UTC
hpc,4,6464,Collection stop time,20:51:28 22/04/2021 UTC
hpc,4,6464,Collector Type,Driverless Perf per-process sampling
hpc,4,6464,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,4,6464,Frequency,2095148615
hpc,4,6464,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,36,64128,Metric Name,Metric Value
tr,36,64128,Elapsed Time,1.340551
tr,36,64128,Paused Time,0.0
tr,36,64128,Effective CPU Utilization,0.1% (0.043 out of 72 logical CPUs)
tr,36,64128,OpenMP Analysis. Collection Time,1.340551
tr,36,64128,Serial Time (outside parallel regions),1.264s (94.3%)
tr,36,64128,Parallel Region Time,0.076s (5.7%)
tr,36,64128,Estimated Ideal Time,0.033s (2.5%)
tr,36,64128,OpenMP Potential Gain,0.043s (3.2%)
tr,36,64128,Total Thread Count,100
tr,36,64128,Thread Oversubscription,14.960s (99.5% of CPU Time)
tr,36,64128,Wait Time with poor CPU Utilization,34.708s (100.0% of Wait Time)
tr,36,64128,Spin and Overhead Time,14.980s (99.7% of CPU Time)
tr,36,64128,Application Command Line,"srad2 ""64"" ""128"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""36"""
tr,36,64128,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,36,64128,Computer Name,quartz1453
tr,36,64128,Result Size,5316694
tr,36,64128,Collection start time,20:51:41 22/04/2021 UTC
tr,36,64128,Collection stop time,20:51:43 22/04/2021 UTC
tr,36,64128,Collector Type,User-mode sampling and tracing
tr,36,64128,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,36,64128,Frequency,2095146698
tr,36,64128,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,36,64128,Metric Name,Metric Value
hpc,36,64128,Elapsed Time,0.078489
hpc,36,64128,SP GFLOPS,0.0
hpc,36,64128,DP GFLOPS,0.0
hpc,36,64128,x87 GFLOPS,0.0
hpc,36,64128,CPI Rate,1.000000
hpc,36,64128,Average CPU Frequency,2444340640.000000
hpc,36,64128,Total Thread Count,1
hpc,36,64128,Effective Physical Core Utilization,0.5% (0.192 out of 36)
hpc,36,64128,Effective Logical Core Utilization,0.5% (0.383 out of 72)
hpc,36,64128,Memory Bound,-0.0
hpc,36,64128,Cache Bound,0.0
hpc,36,64128,DRAM Bound,0.0
hpc,36,64128,NUMA: % of Remote Accesses,0.0
hpc,36,64128,Vectorization,0.0
hpc,36,64128,SP FLOPs,0.0
hpc,36,64128,Packed,0.0
hpc,36,64128,128-bit,0.0
hpc,36,64128,256-bit,0.0
hpc,36,64128,Scalar,0.0
hpc,36,64128,DP FLOPs,0.0
hpc,36,64128,Packed,0.0
hpc,36,64128,128-bit,0.0
hpc,36,64128,256-bit,0.0
hpc,36,64128,Scalar,0.0
hpc,36,64128,x87 FLOPs,0.0
hpc,36,64128,Non-FP,100.0
hpc,36,64128,FP Arith/Mem Rd Instr. Ratio,0.0
hpc,36,64128,FP Arith/Mem Wr Instr. Ratio,0.0
hpc,36,64128,Application Command Line,"srad2 ""100"" ""0.5"" ""64"" ""128"" ""64"" ""128"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""36"""
hpc,36,64128,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
hpc,36,64128,Computer Name,quartz1453
hpc,36,64128,Result Size,3435883
hpc,36,64128,Collection start time,20:51:59 22/04/2021 UTC
hpc,36,64128,Collection stop time,20:51:59 22/04/2021 UTC
hpc,36,64128,Collector Type,Driverless Perf per-process sampling
hpc,36,64128,Name,Intel(R) Xeon(R) Processor code named Broadwell
hpc,36,64128,Frequency,2095149120
hpc,36,64128,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
tr,18,64128,Metric Name,Metric Value
tr,18,64128,Elapsed Time,1.245794
tr,18,64128,Paused Time,0.0
tr,18,64128,Effective CPU Utilization,0.0% (0.029 out of 72 logical CPUs)
tr,18,64128,OpenMP Analysis. Collection Time,1.245794
tr,18,64128,Serial Time (outside parallel regions),1.182s (94.9%)
tr,18,64128,Parallel Region Time,0.064s (5.1%)
tr,18,64128,Estimated Ideal Time,0.020s (1.6%)
tr,18,64128,OpenMP Potential Gain,0.044s (3.5%)
tr,18,64128,Total Thread Count,100
tr,18,64128,Thread Oversubscription,13.799s (99.2% of CPU Time)
tr,18,64128,Wait Time with poor CPU Utilization,32.370s (100.0% of Wait Time)
tr,18,64128,Spin and Overhead Time,13.880s (99.8% of CPU Time)
tr,18,64128,Application Command Line,"srad2 ""64"" ""128"" ""0"" ""63"" ""0"" ""63"" ""100"" ""0.5"" ""18"""
tr,18,64128,Operating System,"3.10.0-1160.15.2.1chaos.ch6.x86_64 NAME=""Red Hat Enterprise Linux Server"" VERSION=""7.9 (Maipo)"" ID=""rhel"" ID_LIKE=""fedora"" VARIANT=""Server"" VARIANT_ID=""server"" VERSION_ID=""7.9"" PRETTY_NAME=""Red Hat Enterprise Linux Server 7.9 (Maipo)"" ANSI_COLOR=""0;31"" CPE_NAME=""cpe:/o:redhat:enterprise_linux:7.9:GA:server"" HOME_URL=""https://www.redhat.com/"" BUG_REPORT_URL=""https://bugzilla.redhat.com/""  REDHAT_BUGZILLA_PRODUCT=""Red Hat Enterprise Linux 7"" REDHAT_BUGZILLA_PRODUCT_VERSION=7.9 REDHAT_SUPPORT_PRODUCT=""Red Hat Enterprise Linux"" REDHAT_SUPPORT_PRODUCT_VERSION=""7.9"""
tr,18,64128,Computer Name,quartz1453
tr,18,64128,Result Size,5151833
tr,18,64128,Collection start time,20:52:12 22/04/2021 UTC
tr,18,64128,Collection stop time,20:52:14 22/04/2021 UTC
tr,18,64128,Collector Type,User-mode sampling and tracing
tr,18,64128,Name,Intel(R) Xeon(R) Processor code named Broadwell
tr,18,64128,Frequency,2095146851
tr,18,64128,Logical CPU Count,72
vtuneCategory,threadcount,inputinfo,metric,value
hpc,18,64128,Metric Name,Metric Value
hpc,18,64128,Elapsed Time,0.085487
hpc,18,64128,SP GFLOPS,0.0
hpc,18,64128,DP GFLOPS,0.0
hpc,18,64128,x87 GFLOPS,0.0
hpc,18,64128,CPI Rate,0.875000
hpc,18,64128,Average CPU Frequency,2444339837.333333
hpc,18,64128,Total Thread Count,1
hpc,18,64128,Effective Physical Core Utilization,0.5% (0.176 out of 36)
hpc,18,64128,Effective Logical Core Utilization,0.5% (0.352 out of 72)
hpc,18,64128,Memory Bound,0.0
hpc,18,64128,Cache Bound,0.0
hpc,18,64128,DRAM Bound,0.0
